Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Information / Attempt Burglary,Ellis between 54th & 55th,11/19/16 9:58 AM,11/18/16 to 11/19/16 11:00 PM to 6:30 AM,Unknown person(s) cut two window screens at the rear of off-campus private apartment in an attempt to gain entry / CPD case,CPD,16-01037
Theft,1101 E. 58th St. (Rosenwald Bike Rack),11/19/16 2:37 PM,11/16/16 to 11/18/16 8:00 PM to 8:00 PM,Secured bicycle taken from bike rack,Open,16-01038
Information / Armed Robbery,6411 S. Greenwood,11/19/16 2:41 PM,11/19/16 2:30 PM,"Three unknown suspects, one armed with a handgun, took iPhone from victim sitting in a car parked off-campus / UCPD officer detained one suspect after a brief foot chase / Suspect turned over to CPD and placed under arrest / CPD case HZ521867",CPD / Arrest,16-01039
Possession of Cannabis,5700 S. Stony Island (Stony Island RH),11/19/16 10:31 PM,11/19/16 10:20 PM,Four individuals were found in possession of six brownies containing cannabis / Brownies confiscated by UCPD for proper disposal,Referred,16-10140
Liquor Law Violation,1101 E. 56th St. (Max Palevsky RH),11/20/16 2:40 AM,11/20/16 2:40 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,16-01041
Found Narcotics Paraphernalia,5700 S. Stony Island (Stony Island RH),11/20/16 1:39 PM,11/20/16 1:35 PM,Staff found paraphernalia commonly used to produce marijuana cigarettes / Turned over to UCPD for proper disposal,Closed,16-01042
Theft,5550 S. University (Smart Museum),11/20/16 2:38 PM,11/20/16 1:45 PM to 2:00 PM,Purse left unattended on ledge in lobby taken by unknown person / Follow up investigation reveals the purse was found by an unknown individual and returned to owner with all the contents in tact / No crime occurred,Unfounded,16-01043
Information / Attempt Robbery,55th at Everett,11/21/16 9:06 PM,11/21/16 9:00 PM,Victim walking on the sidewalk off-campus was approached by an unknown suspect who attempted to forcibly take the victim's cellphone / Victim ran to a nearby UC emergency phone and suspect ran southbound on Everett without taking property / CPD case,CPD,16-01044
Theft,5735 S. University (Calvert House),11/21/16 9:42 PM,11/21/16 6:30 PM 7:45 PM,"Unknown person took unattended, unsecured bag containing a laptop computer and text books and a gym bag containing clothing from foyer of the building",Open,16-01045
Information / Death Investigation,5454 S. Shore Dr. (CDIS),11/22/16 8:57 AM,11/22/16 8:25 AM,Individual found deceased / CPD case HZ524921,CPD,16-01046
Theft,1105 E. 55th St. (Public Way),11/22/16 11:03 AM,11/22/16 10:55 AM,Unknown suspect took unsecured bicycle left on the sidewalk in front of the store,Open,16-01047
Criminal Trespass to Land,5758 S. Maryland (DCAM),11/22/16 10:38 PM,11/22/16 10:38 PM,"Unauthorized individual, was arrested by UCPD after ignoring multiple warnings, both oral and written, not to trespass on University owned property",Arrest,16-01048
Theft,1116 E. 59th St. (Harper Library Bike Rack),11/23/16 9:42 AM,10/29/16 to 10/31/16 1:30 PM to 3:00 PM,Secured bicycle taken from bike Rack,Open,16-010149
Lost Property,57th & Stony Island to 5811 S. Ellis,11/23/16 10:47 AM,11/22/16 4:20 PM to 6:00 PM,"Individual reports losing wallet, possibly on UC Shuttle bus",Closed,16-01050
Theft,5700 S. Maryland (CCD),11/23/16 2:03 PM,11/16/16 to 11/20/16 11:00 AM to 2:00 PM,Patient reports cash and Ventra card taken from his wallet,Open,16-01051
Theft,5530 S. Ellis (Ratner AC),11/23/16 2:19 PM,11/23/16 2:10 PM to 2:15 PM,Wallet taken from unsecured locker in men's locker room,Open,16-01052
Found Property,1220 E. 61st St.,11/24/16 9:00 AM,11/24/16 9:00 AM,UCPD officer found a back pack on the public way / Owner notified back pack is being held for safekeeping at UCPD HQ,Closed,16-01053
Motor Vehicle Theft,815 E. 56th St.,11/25/16 12:04 PM,11/25/16 10:40 AM to 11:15 AM,Unknown person(s) took vehicle parked on the street / Unoccupied vehicle recovered at 5531 S. Cottage Grove on 12/1/16,Open,16-01054
Found Narcotics,1036 E. Hyde Park,11/25/16 4:34 PM,11/25/16 4:34 PM,"During a traffic safety mission, UCPD officers recovered marijuana from a motor vehicle / Illegal substance confiscated and inventoried for proper disposal at UCPD HQ",Closed,16-01055
Medical Call,5500 S. University (Campus North RH),11/26/16 12:09 PM,11/26/16 12:09 PM,Sick person transported to the ER by CFD EMS for evaluation and treatment,Closed,16-01056
Deceptive Practice,Woodlawn between 54th & 55th,11/27/16 4:47 PM,11/27/16 10:15AM,Individual left iPhone in LYFT ride share vehicle on 11/26/16 / Driver contacted owner and offered to sell the phone back to him for $200 / Suspect arrested by UCPD,Arrest,16-01057
Information / Traffic Crash,1600 E. Midway Pl.,11/28/16 10:36 AM,11/28/16 8:10 AM,A pedestrian informed UCPD that while crossing the street she was struck by a motorist / Pedestrian declined medical treatment / MVA 2016-00192,Closed,16-01058
Information / Burglary,54th between Cottage and Drexel,11/28/16 11:31 AM,11/27/16 2:15 AM to 2:30 AM,Unknown person(s) gained entry to off-campus private apartment via an unsecured rear window and took 2 laptop computers / CPD case,CPD,16-01059
Theft,5758 S. Maryland (DCAM),11/28/16 1:53 PM,11/28/16 7:55 AM to 12:15 PM,Unattended wallet taken from unsecured cabinet in work area,Open,16-01060
Damage to Property,1414 E. 59th St. (I-House),11/28/16 3:03 PM,11/23/16 to 11/27/16 3:00 PM to 12:00 PM,Rear wheel of bicycle secured to bike rack was damaged / Cause unknown at this time,Closed,16-01061
Criminal Trespass to Land,1116 E. 59th St. (Harper Library),11/28/16 3:20 PM,11/28/16 3:20 PM,Unauthorized individual who had been warned on several previous occasions not to trespass on University property was found in Harper Library and arrested by UCPD officers,Arrest,16-01062
Mental Health Transport,5555 S. Woodlawn (Student Counseling),11/29/16 3:44 PM,11/29/16 3:58 PM,Individual transported to ER for evaluation and treatment,Closed,16-01063
Medical Call,1414 E. 59th St. (I-House),11/29/16 10:57 PM,11/29/16 10:57 PM,Ill person transported to ER by CFD EMS,Closed,16-01064
Information,1126 E. 59th St. (Social Science Research Bike Rack),11/30/16 12:23 AM,11/30/16 12:23 AM,UCPD officer observed individual tampering with a bicycle secured in bike rack / Individual was given trespass warning and notified if he returned to UC property he would be arrested,Closed,16-01065
Theft,5700 S. Drexel (Starbucks Caf�),11/30/16 7:06 AM,11/29/16 6:35 AM,Suspect was observed taking a coffee mug without paying / Suspect detained by UCM Public Safety officer and arrested by UCPD,Arrest,16-01066
Theft,5807 S. Woodlawn (Booth School),11/30/16 2:01 PM,11/30/16 1:30 PM to 1:35 PM,"Unattended, unsecured book bag taken from hallway",Open,16-01067
Theft,1126 E. 59th St. (Social Science Research),11/30/16 1:26 PM,11/30/16 1:15 PM to 1:25 PM,MacBook computer taken from unsecured office,Open,16-01068
Theft,1126 E. 59th St. (Social Science Research),11/30/16 1:42 PM,11/30/16 1:25 PM to 1:30 PM,Wallet and iPhone taken from unsecured office,Open,16-01069
Theft,1130 E. 59th St. (Foster Hall),11/30/16 1:53 PM,11/30/16 1:00 PM to 1:30 PM,Laptop computer taken from book bag in unsecured office,Open,16-01070
Theft,1116 E. 59th St. (Harper),11/30/16 2:09 PM,11/30/16 12:45 PM,"Unattended, unsecured purse was taken from under desk in office",Open,16-01071
Lost Property,61st & Ellis,12/1/16 10:51 AM,11/29/16 to 12/1/16 11:55 PM to 10:50 AM,Individual reports losing wallet in the area of 61st St. and Ellis,Closed,16-01072
Theft,1130 E. 59th St. (Foster Hall),12/1/16 2:06 PM,11/30/16 2:00 PM to 2:05 PM,Unattended Galaxy cell phone taken from desk top in unsecured office,Open,16-01073
Information / Aggravated Robbery,5401 S. Cornell,12/1/16 8:21 PM,12/1/16 8:10 PM,"3 unknown suspects, one implying a weapon, took wallet and iPhone from victim walking on the sidewalk off-campus / CPD case HZ536452",CPD,16-01074
Theft,5550 S. University (Crown Field House Bike Rack),12/1/16 8:17 PM,11/28/16 to 12/1/16 7:30 PM to 8:15 PM,Bicycle secured to bike rack taken by unknown person,Open,16-01075
Sexual Assault / Fondling,Max Palevsky RH,12/2/16 12:09 AM,12/1/16 11:00 PM,"DSS notified by Campus Security Authority that undisclosed victim was fondled by an undisclosed acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      16-010
Lost Property,1100 E. 57th St. (Regenstein Library),12/2/16 12:44 AM,12/1/16 6:30 PM to 9:00 PM,Individual reports losing 1Phone while in the library,Closed,16-01076
Assist Other Agency,850 E. 61st St.,12/2/16 11:15 AM,12/2/16 10:30 AM,UCPD Investigations assisted another law enforcement agency conducting an investigation,Closed,16-01077
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),12/2/16 3:01 PM,12/2/16 2:45 PM,Individual transported to ER for evaluation and treatment,Closed,16-01078
Information / Homicide,5481 S. Cornell (Cornell Park),12/2/16 2:55 PM,12/2/16 2:55 PM,An individual not affiliated with the University was sitting in Cornell Park located off-campus at 5481 South Cornell Avenue when an unknown individual wearing a ski mask exited a green vehicle approached and fired a weapon striking the victim in the head. The suspect reentered the vehicle and fled northbound on Cornell Avenue. The victim was pronounced dead at the scene of the crime. Chicago police are investigating what appears to have been a targeted attack on the victim. CPD case HZ537248,CPD,16-01080
Traffic Crash,970 E. 58th St. (Parking Lot),12/2/16 3:40 PM,12/2/16 3:40 PM,A UC owned vehicle struck another UC owned vehicle while backing into a parking space / Minor property damage / No injury reported / 2016 MVA-00194,Closed,16-01079
Information / Well-Being Check,62nd between Ellis & Greenwood,12/3/16 11:44 AM,12/3/16 11:44 AM,"UCPD officers, upon request, checked on the well-being of an individual / Individual contacted, safe and secure",Closed,16-01081
Void,Void,Void,Void,Number generated in error,Void,16-01082
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),12/4/16 1:15 AM,12/4/16 1:15 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,16-01083
Theft,6100 S. Ellis (Public Way),12/4/16 11:02 AM,11/16/16 to 11/23/16 8:00 AM to 8:00 AM,Bicycle secured to street sign taken by unknown person,Open,16-01084
Information / Deceptive Practice,850 E. 61st St.,12/4/16 11:53 PM,11/23/16 to 12/4/16 8:00 AM to 11:50 AM,Investigation into possible fraud / suspicious activity situation,Open,16-01085
Lost Property,55th & Ellis to 53rd & Woodlawn,12/5/16 1:33 PM,12/3/16 6:00 PM to 6:15 PM,Individual reports losing wallet while riding UC shuttle bus,Closed,16-01086
Criminal Damage to Property / Vandalism,1020 E. 58th St.,12/5/16 8:24 AM,12/5/16 8:15 AM,Neo-Nazi fliers posted at several locations around campus / UC personnel removed the fliers,Open,16-01087
Damage to Property,1427 E. 60th St.,12/6/16 4:35 PM,12/6/16 4:35 PM,Juvenile threw an object accidentally breaking the window of a parked car / Parents arranged to reimburse owner for damage,Closed,16-01089
Void,Void,Void,Void,Number generated in error,Void,16-01090
Fire,1101 E. 58th St. (Rosenwald Hall),12/6/16 7:37 PM,12/6/16 7:37 PM,Exposed wires in electrical box in construction area under the rear (south) exterior steps of Rosenwald Hall shorted and set fire to a plastic tarp / CFD responded and extinguished flames / Minor smoke damage / No injuries reported,Closed,16-01091
Traffic Crash / Hit & Run,53rd & Harper,12/6/16 7:40 PM,12/6/16 7:35 PM,Motorist struck UC owned vehicle and fled eastbound on 53rd St. / Property damage only / No injuries reported,Open,16-01092
Information,5807 S. Woodlawn (Booth School),12/6/16 9:19 PM,12/6/16 1:00 PM,Nine anti-racist posters were found on bulletin boards and elevators in the building / Removed by UC employees,Closed,16-01093
Theft,5823 S. Kenwood (Sunny Gym),12/6/16 3:38 PM,12/5/16 3:30 PM to 5:30 PM,Unattended and unsecured iPhone left on top of locker in locker room taken by unknown person,Open,16-01088
Medical Call,1100 E. 57th St.,12/7/16 12:04 AM,12/7/16 12:04 AM,Individual suffering from a seizure transported to ER by CFD EMS,Closed,16-01094
Theft,1362 E. 59th St. (Lab School),12/7/16 3:03 PM,11/21/16 2:30 PM to 2:40 PM,Unattended and unsecured iPhone left in student lounge taken by unknown person,Open,16-01095
Information / Burglary,Greenwood between 53rd & 54th,12/7/16 6:15 PM,12/7/16 10:15 AM to 1:00 PM,Unknown persons gained unlawful entry into off-campus private apartment and took property / No signs of forced entry / CPD case,CPD,16-01096
Void,Void,Void,Void,Number generated in error,Void,16-01097
Information / Burglary,54th between Kimbark & Kenwood,12/8/16 1:43 PM,12/8/16 11:30 AM to 1:00 PM,Unknown person(s) gained unlawful entry to off-campus private apartment via unknown manner and took two computers and a TV / CPD case,CPD,16-01098
Mental Health Transport,1020 E. 58th St. (Main Quad),12/8/16 9:45 PM,12/8/16 9:45 PM,Individual was transported to hospital by CFD EMS for evaluation and treatment,Closed,16-01099
Information / Armed Robbery,54th Pl. at Harper,12/8/16 11:28 PM,12/8/16 11:20 PM,"Two unknown suspects, one armed with a handgun, took property from two individuals walking on the sidewalk off-campus before fleeing in a waiting black vehicle northbound on Harper / No physical injuries reported / CPD case HZ545140",CPD,16-01100
Mental Health Transport,5555 S. Woodlawn,12/9/16 10:17 AM,12/9/16 10:17 AM,Individual transported to hospital for evaluation and treatment,Closed,16-01101
Disturbance,1346 E. 53rd St.,12/9/16 1:41 PM,12/9/16 1:41 PM,Disturbance on the street off-campus / Peace restored,Closed,16-01102
Assist Other Agency,Ridgewood between 54th & 55th,12/9/16 1:10 PM,12/9/16 1:10 PM,"Responding to a call of a suspicious person, UCPD officers detained an individual who had attempted to gain entry to an off-campus apartment / Suspect turned over to CPD and was charged with attempted burglary / CPD case HZ544867",CPD,16-01103
Theft,5807 S. Woodlawn (Booth School),12/9/16 1:59 PM,12/9/16 11:42 AM to 1:45 PM,Two coffee tables taken from the building / Follow up investigation revealed the tables were taken by mistake and were returned / No crime occurred,Unfounded,16-01104
Void,Void,Void,Void,Number generated in error,Void,16-01105
Information / Robbery,942 E. 55th St.,12/9/16 9:29 PM,12/9/16 9:15 PM,Three unknown suspects took property from a victim walking on the sidewalk / Suspects fled in a white van / Victim reported no injuries / CPD case,CPD,16-01106
Information / Robbery,1160 E. 54th St.,12/9/16 10:31 PM,12/9/16 10:15 PM,An unknown suspect took an iPhone and wallet from a victim walking on the sidewalk off-campus before entering a white van that sped off in an unknown direction / CPD case HZ546363,CPD,16-01107
